D8R1	D8R2	D8R3	M8R1	M8R2	M8R3	D24R1	D24R2	D24R3	M24R1	M24R2	M24R3
ABCB7	10.5773928552977	10.5706369297179	10.4881494482861	10.4180049647878	10.4460951666839	10.5496318027455	10.6299784357058	10.6024573848465	10.5719822998365	10.5513302532504	10.5788513041097	10.6093263891197
ABCB8	10.5317235013312	10.2779350858738	10.542196628211	10.6774479615956	10.6828435953084	10.4514624185631	11.1128993340266	11.0123161249209	10.9952986968607	11.0358802202478	11.1364634293536	11.1534808574136
ABCB9	8.82814165490225	8.73736723805554	8.75274390628282	8.93880999295718	8.93484229032189	8.951373074141	9.77175797067131	9.68063924205429	9.64640934525988	9.65076589275475	9.74188462137175	9.77611451816609
ABCC1	9.83916470215261	9.75657813802854	9.80880447124732	9.71547755751291	9.77100292180906	9.69286670065192	10.3224764128603	10.1657368632823	10.1765768957004	10.3439494901313	10.5006890397093	10.489849007291
ABCC10	10.2064538209159	10.0806838180807	10.3625810200141	10.4817882602402	10.4455161906166	10.1186084565825	10.6844338199859	10.5902728918192	10.616880104222	10.7783988556659	10.8725597838327	10.8459525714296
ABCC2	6.77211697583132	6.77603934970345	6.88128714290105	6.59169781272096	6.60820295909188	6.43805227093405	6.92129061761266	6.83214880043632	6.84063148918996	6.94295402253353	7.03209583970986	7.0236131509561
ABCC3	11.0342777674355	10.7645066152734	11.1143729470388	11.130869316653	11.1162945186871	10.8336212827141	11.5703893664621	11.507530558196	11.5268999021425	11.6394393989524	11.7022982072185	11.6829288632719
ABCC4	11.2668703798519	11.2441190487257	11.2123472144962	11.1989613465636	11.1897347096603	11.2837556091266	11.0309098789466	11.0447158655295	11.0730335128119	11.1012724898238	11.0874665032409	11.0591488559584
ABCC5	11.1277844779774	11.0511580474807	11.2160312168863	11.1476763646666	11.0972996312333	10.9957778287016	11.0169937768227	10.9980953315218	11.0470946773086	11.1823439411412	11.2012423864421	11.1522430406553
ABCD1	9.04396281616366	8.81700308133392	9.00413665530668	9.26409706001759	9.25535886188403	9.1039325839619	10.4708631698887	10.3638028985691	10.3337891834669	10.3539442499531	10.4610045212726	10.4910182363747
ABCD3	12.3617873617273	12.3869049077832	12.2880559222399	12.2976059213486	12.2922477648672	12.4289238308098	11.8955354634534	11.9793640697832	11.9881359989662	11.9411229717285	11.8572943653987	11.8485224362156
ABCD4	11.2861891147561	11.293594903565	11.4630705360812	11.4753094042035	11.4187502439388	11.2021475906267	11.4131238182593	11.3683885763911	11.3849827285748	11.4731882869867	11.5179235288549	11.5013293766711
ABCE1	13.0099148266773	13.1540789653905	13.0172511074985	13.0430294236795	12.9925179266931	13.1251690726236	11.920491197557	12.083121435672	12.1292458296901	12.0995040617334	11.9368738236184	11.8907494296002
ABCF1	11.7986793956553	11.7271496548867	11.6801355032885	11.6866353058832	11.7244931597634	11.8119522534411	12.0902086734166	11.9848305208058	11.9447232758051	11.9490747852065	12.0544529378174	12.094560182818
ABCF2	12.9361374844127	12.9224521770682	12.9307659793	12.9009968450698	12.9321426673624	12.8842258365851	13.2236232326512	13.1320876711581	13.1090513985323	13.1307934477239	13.2223290092169	13.2453652818426
ABCF3	11.7699923846545	11.6782757686298	11.7359777207138	11.6354673098402	11.7304645485371	11.5879565055393	11.9811249775968	11.9058143725825	11.8966727896166	11.93566484216	12.0109754471743	12.0201170301401
ABCG2	9.36572881181317	9.34231538925176	9.33117701142598	9.29708006849944	9.28501561631546	9.35526597095962	9.22501866749765	9.20427730256272	9.17398581816489	9.14942534189241	9.17016670682732	9.20045819122513
