FC..class1.class2.	P.value
ENSG00000173581	0.211564851526944	0.008377
ENSG00000127220	0.214742411007388	0.008377
ENSG00000105855	0.210229022689942	0.00839
ENSG00000260686	0.211063770755173	0.008438
ENSG00000004777	0.216250016992825	0.00846
ENSG00000127580	0.208727692223415	0.008582
ENSG00000233276	0.210896782498619	0.008667
ENSG00000222112	0.188364569146256	0.00868
ENSG00000126461	0.213069138909714	0.008699
ENSG00000105519	0.208560974127558	0.008719
ENSG00000177169	0.219773903113386	0.008724
ENSG00000213551	0.209895258653546	0.008731
ENSG00000242299	0.216920570126388	0.008759
ENSG00000108557	0.211397805264859	0.008779
ENSG00000165730	0.207894294337095	0.008781
ENSG00000100490	0.212066106395924	0.008797
ENSG00000253716	0.221454974197195	0.008842
ENSG00000153944	0.209728405586698	0.008905
ENSG00000237310	0.209227962138	0.008917
ENSG00000228439	0.220950447162541	0.008957
ENSG00000254469	0.210395933668423	0.008967
ENSG00000164620	0.215244771307591	0.009014
ENSG00000177051	0.207394486592311	0.009118
ENSG00000184990	0.211397805264859	0.009228
ENSG00000146094	0.214407601295769	0.009273
ENSG00000197332	0.220109960659953	0.00929
ENSG00000270001	0.217591435072627	0.009324
ENSG00000135604	0.222969614799193	0.009384
ENSG00000268970	0.153446510314719	0.009391
ENSG00000198832	0.204898041877175	0.009442
ENSG00000080947	0.219269963523624	0.009445
ENSG00000250479	0.207561069935362	0.009459
ENSG00000169564	0.207394486592311	0.009495
ENSG00000214954	0.203402245951694	0.009618
ENSG00000186193	0.204233052217608	0.009685
ENSG00000277476	0.204066852685037	0.009884
ENSG00000159314	0.202239920368167	0.009944
ENSG00000280046	0.216417626059629	0.009946
ENSG00000143355	0.205396985351244	0.009963
ENSG00000152669	0.203402245951694	0.009975
ENSG00000225793	0.204066852685037	0.01002
ENSG00000137818	0.2017420673555	0.01006
ENSG00000072201	0.103456884144101	0.01007
ENSG00000160226	0.202239920368167	0.01011
ENSG00000112715	0.209561571814799	0.01017
ENSG00000198573	0.201410260766896	0.0102
ENSG00000123159	0.20024953829911	0.01027
ENSG00000131196	0.203900672296569	0.0103
ENSG00000181031	0.203900672296569	0.01047
ENSG00000117984	0.20074687643936	0.01058
ENSG00000140406	0.198096385321345	0.01063
ENSG00000106211	0.205230651686346	0.01069
ENSG00000108551	0.201907999271364	0.01072
ENSG00000170006	0.197930891195452	0.01072
ENSG00000183087	0.198924140832543	0.01076
ENSG00000140993	0.197269104467843	0.01092
ENSG00000174132	0.205396985351244	0.01095
ENSG00000091129	0.216920570126388	0.01096
ENSG00000164880	0.199089748941648	0.01108
ENSG00000059122	0.198758551731541	0.01112
ENSG00000025708	0.202571917847687	0.01114
ENSG00000226015	0.205396985351244	0.01116
ENSG00000198939	0.217591435072627	0.01119
ENSG00000235245	0.198096385321345	0.01126
ENSG00000071564	0.195285563769194	0.0114
ENSG00000131408	0.195615964558658	0.0114
ENSG00000185730	0.193964716763781	0.01148
ENSG00000005206	0.197103705208174	0.01148
ENSG00000261526	0.195120391745327	0.01158
ENSG00000268225	0.204399270898694	0.01162
ENSG00000074071	0.195450754705528	0.01167
ENSG00000106009	0.192974874501356	0.01182
ENSG00000242615	0.19660762117295	0.01186
ENSG00000142173	0.193304746468242	0.01203
ENSG00000145214	0.196772963565072	0.01209
ENSG00000182979	0.192315356756893	0.0121
ENSG00000163795	0.193304746468242	0.01214
ENSG00000187961	0.20240590955789	0.01217
ENSG00000146677	0.209728405586698	0.01224
ENSG00000198355	0.191326645096798	0.01225
ENSG00000172062	0.192150524418423	0.01234
ENSG00000279148	0.194294815161489	0.01239
ENSG00000274349	0.209061186224181	0.01247
ENSG00000119333	0.19280996679804	0.01249
ENSG00000166165	0.195285563769194	0.0125
ENSG00000105298	0.209061186224181	0.01256
ENSG00000175602	0.189351252217354	0.01264
ENSG00000146054	0.199421022201632	0.01274
ENSG00000182308	0.205064337196464	0.01277
ENSG00000124074	0.188857826330692	0.01281
ENSG00000147804	0.198758551731541	0.01282
ENSG00000162004	0.198096385321345	0.01282
ENSG00000158292	0.189186758169985	0.01285
ENSG00000162337	0.192480207930116	0.01286
ENSG00000105701	0.189022282875856	0.01288
ENSG00000160219	0.199586687361243	0.01322
ENSG00000162620	0.175761673396286	0.01334
ENSG00000125845	0.188528969470164	0.01339
ENSG00000138834	0.191985710910402	0.01343
ENSG00000170373	0.203070057361489	0.01352
ENSG00000103335	0.190009416024795	0.01358
ENSG00000230177	0.143691510282557	0.01366
ENSG00000167700	0.186393225126173	0.01381
ENSG00000258900	0.203900672296569	0.01382
ENSG00000143443	0.188364569146256	0.01396
ENSG00000108821	0.184096723154903	0.01398
ENSG00000262333	0.189022282875856	0.01413
ENSG00000179403	0.18951576502224	0.01422
ENSG00000172725	0.195120391745327	0.01424
ENSG00000262209	0.20058107800892	0.01425
ENSG00000234771	0.194790104417674	0.01429
ENSG00000188242	0.190997225060914	0.01434
