"","X","X.miRNA","precursor","D8R1","D8R2","D8R3","M8R1","M8R2","M8R3","T8R1","T8R2","T8R3","TM8R1","TM8R2","TM8R3","D24R1","D24R2","D24R3","M24R1","M24R2","M24R3","T24R1","T24R2","T24R3","TM24R1","TM24R2","TM24R3"
"28",23606,"hsa-miR-101-5p","hsa-mir-101-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",23610,"hsa-miR-10226","hsa-mir-10226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",23612,"hsa-miR-10392-3p","hsa-mir-10392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",23611,"hsa-miR-10392-5p","hsa-mir-10392",1,2,3,0,1,4,1,2,0,2,1,2,2,1,1,1,2,1,1,2,3,2,2,2
"36",23614,"hsa-miR-10393-3p","hsa-mir-10393",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",23613,"hsa-miR-10393-5p","hsa-mir-10393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",23616,"hsa-miR-10394-3p","hsa-mir-10394",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"37",23615,"hsa-miR-10394-5p","hsa-mir-10394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",23618,"hsa-miR-10395-3p","hsa-mir-10395",4,1,5,4,6,7,14,4,1,6,4,6,4,13,5,3,5,4,9,4,3,5,5,7
"39",23617,"hsa-miR-10395-5p","hsa-mir-10395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",23620,"hsa-miR-10396a-3p","hsa-mir-10396a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"41",23619,"hsa-miR-10396a-5p","hsa-mir-10396a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",23622,"hsa-miR-10396b-3p","hsa-mir-10396b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"43",23621,"hsa-miR-10396b-5p","hsa-mir-10396b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"46",23624,"hsa-miR-10397-3p","hsa-mir-10397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",23623,"hsa-miR-10397-5p","hsa-mir-10397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",23626,"hsa-miR-10398-3p","hsa-mir-10398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",23625,"hsa-miR-10398-5p","hsa-mir-10398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"50",23628,"hsa-miR-10399-3p","hsa-mir-10399",42,36,69,48,27,94,65,20,49,53,55,41,78,59,54,81,64,51,66,75,39,79,90,42
"49",23627,"hsa-miR-10399-5p","hsa-mir-10399",0,1,2,2,4,3,1,1,0,0,1,0,0,0,1,2,4,2,0,5,1,3,3,1
"52",23630,"hsa-miR-103a-1-5p","hsa-mir-103a-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",23631,"hsa-miR-103a-2-5p","hsa-mir-103a-2",0,2,1,0,0,1,1,1,0,2,1,0,4,0,1,1,0,1,2,2,1,2,2,1
"54",23632,"hsa-miR-103a-3p","hsa-mir-103a-2",1814,2717,7106,3587,2932,7664,4486,1457,3552,3250,3663,3739,3820,4408,5054,5126,6934,5317,4678,5811,2013,5495,7208,2861
"55",23633,"hsa-miR-103b","hsa-mir-103b-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",23636,"hsa-miR-10400-3p","hsa-mir-10400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",23635,"hsa-miR-10400-5p","hsa-mir-10400",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",23638,"hsa-miR-10401-3p","hsa-mir-10401",4,4,6,4,1,4,7,2,3,4,2,5,2,4,4,3,0,4,4,5,3,7,5,4
"59",23637,"hsa-miR-10401-5p","hsa-mir-10401",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",23643,"hsa-miR-10522-5p","hsa-mir-10522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",23644,"hsa-miR-10523-5p","hsa-mir-10523",1,0,3,0,1,2,1,0,1,2,0,0,1,5,0,0,1,1,3,1,0,2,0,1
"67",23645,"hsa-miR-10524-5p","hsa-mir-10524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",23646,"hsa-miR-10525-3p","hsa-mir-10525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",23647,"hsa-miR-10526-3p","hsa-mir-10526",2,0,4,4,2,4,1,0,6,1,2,5,2,1,2,1,1,3,3,4,1,3,1,3
"70",23648,"hsa-miR-10527-5p","hsa-mir-10527",9,7,3,9,3,12,4,2,3,7,2,6,3,2,6,7,5,2,3,7,3,4,3,6
"62",23640,"hsa-miR-105-3p","hsa-mir-105-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",23639,"hsa-miR-105-5p","hsa-mir-105-1",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",23650,"hsa-miR-106a-3p","hsa-mir-106a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",23649,"hsa-miR-106a-5p","hsa-mir-106a",1,0,4,2,1,1,2,0,0,1,0,0,1,1,2,2,5,0,1,2,0,0,3,0
"74",23652,"hsa-miR-106b-3p","hsa-mir-106b",2428,2995,4019,3879,2032,6120,4310,1818,2526,4297,2852,3518,2720,3162,4218,4064,3976,3094,4294,4159,2838,4475,4581,2485
"73",23651,"hsa-miR-106b-5p","hsa-mir-106b",11,25,61,31,34,51,40,26,17,30,31,34,63,39,35,83,58,36,52,45,18,42,60,27
"75",23653,"hsa-miR-107","hsa-mir-107",76,94,281,150,103,266,188,63,163,121,125,183,172,205,211,172,298,201,166,226,55,203,245,77
"77",23655,"hsa-miR-10a-3p","hsa-mir-10a",12,12,31,10,17,38,34,11,14,13,25,20,26,40,26,23,51,27,24,52,4,22,56,16
"76",23654,"hsa-miR-10a-5p","hsa-mir-10a",3715,5021,12010,6273,5891,15115,7643,2898,5588,5626,7718,5752,8868,10808,9935,11480,15285,9575,8607,12526,3138,11001,15490,5125
"79",23657,"hsa-miR-10b-3p","hsa-mir-10b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",23656,"hsa-miR-10b-5p","hsa-mir-10b",8,11,38,15,18,40,20,11,16,12,25,22,20,26,29,31,40,27,29,29,9,35,41,10
"81",23659,"hsa-miR-11181-3p","hsa-mir-11181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",23658,"hsa-miR-11181-5p","hsa-mir-11181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",23660,"hsa-miR-11399","hsa-mir-11399",0,0,4,1,1,1,2,0,2,1,1,0,1,2,2,3,1,0,0,0,0,3,4,0
"83",23661,"hsa-miR-11400","hsa-mir-11400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",23662,"hsa-miR-11401","hsa-mir-11401",1,1,2,0,0,1,0,0,1,2,0,0,1,1,0,0,1,1,2,1,0,0,0,1
"86",23664,"hsa-miR-1178-3p","hsa-mir-1178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",23663,"hsa-miR-1178-5p","hsa-mir-1178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",23665,"hsa-miR-1179","hsa-mir-1179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",23667,"hsa-miR-1180-3p","hsa-mir-1180",189,197,357,299,114,460,381,111,183,279,162,304,135,258,318,248,332,264,273,318,154,317,370,150
"88",23666,"hsa-miR-1180-5p","hsa-mir-1180",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"90",23668,"hsa-miR-1181","hsa-mir-1181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",23669,"hsa-miR-1182","hsa-mir-1182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",23670,"hsa-miR-1183","hsa-mir-1183",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",23671,"hsa-miR-1184","hsa-mir-1184-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",23675,"hsa-miR-1185-1-3p","hsa-mir-1185-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",23677,"hsa-miR-1185-2-3p","hsa-mir-1185-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",23674,"hsa-miR-1185-5p","hsa-mir-1185-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",23678,"hsa-miR-1193","hsa-mir-1193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",23679,"hsa-miR-1197","hsa-mir-1197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",23681,"hsa-miR-1199-3p","hsa-mir-1199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",23680,"hsa-miR-1199-5p","hsa-mir-1199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",23682,"hsa-miR-1200","hsa-mir-1200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",23683,"hsa-miR-1202","hsa-mir-1202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
