gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-3662	810	192.8	-0.348684197786196	0.2481	0.01485
hsa-miR-15b-3p	335	193	-0.240929409193099	0.2471	0.01489
hsa-miR-664a-3p	2078	193.4	-0.257390096905414	0.2469	0.01497
hsa-miR-21-5p	472	194.3	-0.23854450717728	0.2482	0.01514
hsa-miR-582-3p	1894	195.7	-0.245540026374521	0.2509	0.0154
hsa-miR-148a-5p	310	199.2	-0.240758928242722	0.2602	0.01606
hsa-miR-3944-3p	954	199.9	-0.233616858998702	0.2607	0.01619
hsa-miR-3613-3p	768	200.4	-0.335335127581466	0.2607	0.01629
hsa-miR-16-5p	340	201	-0.228875046871633	0.2609	0.0164
hsa-miR-6871-5p	2397	203.6	-0.224485847246574	0.2673	0.01691
hsa-miR-3934-5p	942	207.5	-0.229720656790274	0.2781	0.01769
hsa-miR-365b-3p	806	208.3	-0.228875046871633	0.279	0.01786
hsa-miR-26a-2-3p	522	209.5	-0.231752145097155	0.281	0.01809
hsa-miR-4502	1167	210.5	-0.215579775382216	0.2826	0.0183
hsa-miR-365a-3p	804	210.7	-0.227016447861895	0.2817	0.01835
hsa-miR-769-3p	2511	214.9	-0.206228941455776	0.2934	0.01922
hsa-miR-6741-3p	2133	217.2	-0.210896782498619	0.299	0.0197
hsa-miR-5584-5p	1819	218.6	-0.213069138909714	0.3019	0.02001
hsa-miR-342-3p	747	219.4	-0.203236142095557	0.3027	0.02017
hsa-miR-4638-5p	1234	220.8	-0.201410260766896	0.3055	0.02047
hsa-miR-10399-3p	41	221.3	-0.207561069935362	0.3054	0.02059
hsa-miR-6511a-3p	2040	223.8	-0.21574730659542	0.3119	0.02114
hsa-miR-26b-5p	525	224	-0.206894851941122	0.3109	0.02119
hsa-miR-147b-3p	307	224.5	-0.290885851528791	0.3108	0.0213
hsa-miR-548u	1779	227.6	-0.194129756521541	0.3191	0.02199
hsa-miR-548n	1771	228.1	-0.194790104417674	0.3191	0.0221
hsa-miR-361-5p	774	228.7	-0.186557400948926	0.3192	0.02224
hsa-miR-99a-5p	2654	232.5	-0.193634693877545	0.3299	0.0231
hsa-miR-1292-3p	228	234.8	-0.196772963565072	0.3358	0.02364
hsa-miR-452-5p	1204	235.1	-0.181640235176961	0.3348	0.0237
hsa-miR-5189-3p	1628	235.3	-0.17918792277128	0.3337	0.02375
hsa-miR-339-3p	739	237.1	-0.17918792277128	0.3379	0.02417
hsa-miR-15b-5p	336	237.9	-0.181476617933702	0.339	0.02438
hsa-miR-7976	2537	238	-0.189022282875856	0.3373	0.02438
hsa-miR-27a-5p	527	239.8	-0.177555360595383	0.3414	0.02481
hsa-let-7b-3p	4	239.8	-0.175435787910173	0.3398	0.02482
hsa-miR-589-5p	1905	245.3	-0.171368418311981	0.3562	0.02615
hsa-miR-3124-5p	596	247.1	-0.180822334457232	0.3603	0.02659
hsa-miR-4707-3p	1343	249.1	-0.192974874501356	0.3653	0.02709
hsa-miR-92a-3p	2612	250.1	-0.169582402052169	0.3668	0.02735
hsa-miR-181a-3p	344	250.6	-0.162944843726976	0.3667	0.02748
hsa-miR-6728-5p	2108	253.4	-0.158107368396944	0.3743	0.02818
hsa-miR-30c-2-3p	577	253.4	-0.163591067720262	0.3725	0.02819
hsa-miR-4654	1258	254.7	-0.168284868482175	0.3751	0.02853
hsa-miR-511-5p	1601	256.7	-0.159234662676126	0.3799	0.02904
hsa-miR-6501-5p	2021	258.6	-0.159718058573055	0.3843	0.02952
hsa-miR-449a	1160	260.6	-0.158107368396944	0.3895	0.03006
hsa-miR-30a-5p	573	260.7	-0.150881433446724	0.388	0.03009
hsa-miR-6782-3p	2222	261.6	-0.169906967867011	0.3889	0.03031
hsa-miR-125b-5p	177	261.8	-0.147681487494956	0.388	0.03039
hsa-miR-6772-3p	2200	262.1	-0.240418026766445	0.3872	0.03047
hsa-miR-23b-3p	507	262.7	-0.147202107181229	0.3873	0.03062
hsa-miR-3131	607	263.5	-0.15072126746922	0.3881	0.03083
