M8R1	M8R2	M8R3	M24R1	M24R2	M24R3
hsa-miR-186-5p	0.0986113750505337	0.270519394507254	0.0588446739646136	0.202893967932043	0.311202048116693	0.0986113750505337
hsa-miR-187-3p	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537	0.878837897941498	-0.0758956190885537	-0.0758956190885537
hsa-miR-18a-3p	0.030103923377502	0.347455876966522	-0.256275519518208	-0.172539478382099	-0.151188202011748	-0.419728569703598
hsa-miR-18a-5p	-0.807170063219979	-0.613587592093549	-0.414415874947328	-0.0144388953510384	0.238693949918872	0.490374036857252
hsa-miR-1908-3p	-0.332724631213713	0.422837168670119	-0.161715943562321	-0.332724631213713	0.62200888581634	0.62200888581634
hsa-miR-1909-3p	-0.280916048731389	-0.842895377488791	0.111838139541261	0.111838139541261	-0.842895377488791	0.111838139541261
hsa-miR-1909-5p	-0.290556915942706	-0.290556915942706	-0.290556915942706	0.178585020354586	-0.290556915942706	-0.290556915942706
hsa-miR-190b-5p	0	0	0	0	0.387587490732502	0.455373714531322
hsa-miR-1910-5p	-0.73042753924286	0.0251342606409719	0.224305977787192	0.224305977787192	-0.010654027091938	0.877415802653392
hsa-miR-191-3p	0.610986908707818	-0.563560660490741	-0.429592205054932	-0.106815729189581	-0.676554631174942	-0.815240747429121
hsa-miR-1914-3p	0.561979328757402	0	0.171008687651392	0	0	0
hsa-miR-1914-5p	0.24411012089343	-0.782784161688112	-0.61177547403672	-0.31364222539082	-0.782784161688112	-0.32741044715679
hsa-miR-193a-5p	0.331197796966875	0.0437947167981552	0.277596665915035	-0.120586642072155	0.139690636838115	0.0747646700727049
hsa-miR-193b-3p	0.385391074361462	0.072486617544822	0.0930828079785115	0.605695072075972	-0.716653766401318	-0.531864520091609
hsa-miR-193b-5p	0.643247408362548	-0.410456665148722	0.842365405973198	0.949202291520558	-0.0903296708298718	-0.229015787084052
hsa-miR-194-3p	0.108495071366425	0.590682313215705	0.339002226277325	0.0858693810074151	0.920928216037075	-0.813467401087605
hsa-miR-194-5p	-0.437290599427863	-0.563789627907653	-0.583294763876934	0.320721152456076	0.421129680302567	0.242195440378087
hsa-miR-195-3p	0.986521150751122	0.600871620499712	0.799572002623142	0.894701430624982	-0.130719320300708	-0.634164194126238
hsa-miR-195-5p	0.0631442973194625	0.256726768445892	0.154721397191202	-0.498835031437939	0.220938480712983	-0.0434613169066174
hsa-miR-196a-5p	0.561979328757402	0	0.171008687651392	0	0.387587490732502	0.455373714531322
hsa-miR-197-5p	-0.844276843256304	-0.844276843256304	-0.190720414627162	-0.844276843256304	0.457033328510188	-0.388903128724982
hsa-miR-199a-3p	-0.151791238177107	0.603770561706725	0.0192174494742847	0.317350698120185	0.802942278852945	0.303582476354215
hsa-miR-199a-5p	-0.325315224737381	-0.325315224737381	-0.154306537085989	0.143826711559911	0.394458287413541	0.130058489793941
hsa-miR-199b-3p	-0.151791238177107	0.603770561706725	0.0192174494742847	0.317350698120185	0.802942278852945	0.303582476354215
hsa-miR-199b-5p	-0.257526463593069	0.498035336290763	-0.0865177759416773	-0.257526463593069	-0.257526463593069	-0.257526463593069
hsa-miR-19a-3p	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537
hsa-miR-19b-1-5p	0	0.755561799883832	0.171008687651392	0.469141936297292	0.387587490732502	0
hsa-miR-19b-3p	-0.792606921116727	0.370268127957734	-0.464790707071927	0.496767156437524	-0.211657861802017	0.0400222251363633
hsa-miR-200a-3p	0.342222037838263	0.862835697403303	-0.308764698770047	0.652793164739403	0.816631341946463	0.652793164739403
hsa-miR-200a-5p	0.72250454814163	0.72250454814163	0.29292109447969	-0.21391308419327	0.49941055273576	0.543003903734629
hsa-miR-200b-5p	0.694045822939424	0.844472301629864	0.443127263650813	0.710985066074014	0.286259044561724	0.592792214691484
hsa-miR-203a-3p	-0.204948277607727	1.22145418622385	-0.0339395899563351	0.264193658689565	0.182639213124775	0.749785239422325
