D8R1	D24R3	D24R2	D8R3	D8R2	D24R1	M24R3	M8R2	M8R1	M8R3	M24R2	M24R1
ANKRD20A5P	6.35422917936435	6.74735936199057	6.38755716378493	6.88677098223793	6.1917317093321	6.84722226718822	6.83015672762601	6.51797464495329	6.86423052027811	6.90250985167448	6.29400378325919	6.68533863665778
ANKRD26	9.63355951091339	10.2590649263437	9.70251439145292	10.1362355970889	9.83835936362804	10.0521239213995	9.87349799649328	8.65360887127972	9.80626449535773	10.1312931078094	9.78791927567495	9.96329982157517
ANKRD34A	6.18503055122613	6.13280382731585	5.9179204213734	5.95066291594877	6.10841967827713	5.71201108956261	6.24409727828333	6.07354460383296	6.13630895561153	5.50799335928382	6.21991737200365	5.80553912389196
ANKRD65	5.06089011566851	5.47887940612322	5.70877255231437	4.13421089256337	4.98465313053608	5.802992362422	5.42216068422969	5.5989388517404	5.110175592383	4.68526645225473	5.83447068351997	5.61214919019283
ANO8	9.25170303063758	9.72438659002584	9.79554143000881	9.32721893222743	8.46630643576531	9.71403743157637	10.0844638095946	9.23862069609541	9.65731147517891	9.18313538831438	9.81434530377919	9.87082175309452
ANTKMT	6.96201532532626	7.40251324441	7.7809245812312	5.99070920998769	5.47887940612322	7.36442434137756	7.48573104192926	7.40199175626917	7.8578239271648	6.82518205253397	7.60127096216372	7.59190546507762
ANXA2R-AS1	6.80565679755343	6.52377952418354	6.44459460157843	6.88677098223793	6.44082167530687	6.24839821825787	6.30248185519288	6.41966325707981	6.35422917936435	6.56566400713138	6.46683479082865	6.60794458312967
ANXA8	7.748045001319	7.13668678663569	7.57059504678118	6.69998018465785	7.47086483056089	7.97409750754267	6.5831226259112	7.6494627845975	7.79074099603887	6.69233362972238	7.60474929413808	7.68330457955441
ANXA8L1	7.32569255491076	6.42399656922802	6.91872826322901	6.63417037397562	7.15492897590573	7.0553753916335	6.18503055122613	6.80565679755343	7.2480290039048	6.44459460157843	6.81957615732987	6.96147559349498
AOC3	5.48268124027727	5.35250896367955	4.97532016095754	5.95066291594877	5.71631051614169	4.8757119449993	6.96746232072156	5.30677683878635	5.30078094021938	5.01616804770418	4.65901090309407	5.30677683878635
AP1G2-AS1	5.41101300753836	5.47887940612322	4.97532016095754	5.63049694123485	4.84991297273896	5.45006005225805	6.08864568223102	5.72712520199147	5.85876422632431	5.53677691669892	5.20924976597602	5.57136393495432
AP2B1P1	5.91710578919171	5.39153799821188	5.6785581151224	5.26160741228606	5.93701303927513	5.62571489907022	4.74916321583395	5.45322054481811	5.06338836443415	5.82690020973969	4.69881628191929	5.54694216571987
AP4M1	9.59163226296451	9.60766541684912	9.57098050374629	9.57521725046883	9.5609645388408	9.50563369210719	9.64559524641157	9.48917374991434	9.68082659109872	9.21102540305712	9.53102701988555	9.42790091068146
AP5B1	9.73274545359442	9.77100513135622	9.82318743982235	9.59188075262545	9.38731182945692	9.78143231036611	9.79680671640361	9.99450277991837	10.0327635149585	9.59153878176933	9.83074673668337	9.79969614753174
AP5Z1	10.1363242753392	10.0135531872287	10.3622394768407	9.5296972599294	9.26274991864488	10.173985073794	10.6944504278079	10.2842486341943	10.5683456877961	9.74645883056682	10.3707565631692	10.2840428401842
APBA2	7.06629019762776	6.8361504656284	6.72666236194436	6.92604730476688	6.91573186364569	6.70700284673074	6.93881895030954	6.64098006749009	6.9369995526908	6.84930865115512	6.68533863665778	6.47170752584133
APBA3	8.83411130731819	9.02625832665165	9.17155614100295	8.62765484793074	8.43437922882655	9.0308927856235	9.52602284362556	9.27447358790142	9.28084491924279	8.92819514317432	9.24247767398447	9.11079668567929
APC2	7.88916215974545	8.1657102428651	8.36122829353076	7.13054638554872	7.17850639643934	8.02570770224095	8.41292835031542	8.20853194279772	8.47387754473093	7.90024600130177	8.22784916509056	8.15469330697478
APCDD1L-DT	9.05290028620889	9.22936558492921	9.14382156878134	9.20026519012481	9.11356859168393	8.84857495868891	9.08793350150238	8.79406349430297	8.84384912792338	8.97801454025742	8.82351247153294	8.56978235762946
APOBEC3D	6.80565679755343	6.60693956599249	6.87017709640652	6.32149121561206	6.97438620617117	6.83576357927133	6.16470944786893	6.60693956599249	6.76614613923077	6.23967693601063	6.60693956599249	6.83768315947698
APOBEC3F	6.32824823422371	6.03971976017418	6.27874265968338	6.25025859121784	6.36400122982611	6.57791957079092	6.29490830859726	6.17430214227095	6.12740943469112	6.10698628592638	6.29400378325919	6.32149121561206
APOC1	6.02943551970461	5.83199578424622	5.73816655075726	5.92674593080281	6.00359327880004	5.62571489907022	5.01469434417271	6.07354460383296	5.57136393495432	5.60367069578052	5.74688306004357	5.43465031151298
APOL3	8.99521215814426	8.71305861441621	8.84950572636419	8.61066632007496	8.93918018678574	9.192555413907	8.96765985903661	8.75384098892396	9.01211986545696	8.47897801637431	9.00814325553925	9.18970392352753
AQP1	8.13374082715719	6.65291065514809	7.46791351240298	6.07842222414196	7.7076182513856	8.04167404035011	7.16580140263044	7.71505021618537	8.06305521520902	6.44459460157843	7.53907693676193	7.78002417075249
ARG2	7.6897248916882	7.65787556724898	7.71759738830198	7.60127096216372	7.69746457748882	7.71483556117435	7.78797992271256	7.40199175626917	7.46659091258599	7.53907693676193	7.58987383460131	7.58459717333307
ARHGAP25	5.11421142141558	5.47887940612322	5.30677683878635	5.05873985590586	5.45006005225805	5.92674593080281	5.51140015068551	5.79705859221249	5.57136393495432	5.85336526947953	5.48268124027727	5.34546859227725
ARHGAP27	7.59024121397849	7.6298620507372	7.68554027653436	7.42708706696433	7.45633194616922	7.60127096216372	7.58836765572719	7.8521224744883	8.03407607620712	7.61679072245757	7.70912185830832	7.65663861532361
ARHGAP27P1-BPTFP1-KPNA2P3	6.32824823422371	6.00698763526587	6.20969756338075	6.44678258761378	5.88899100407772	6.15461889824416	5.68154321610806	5.8918916017719	5.802992362422	5.57136393495432	6.01519301181329	6.26350597549564
ARHGAP28	6.7411176403859	7.51968751871936	7.37139124758185	6.86125078851577	7.15492897590573	7.019010256778	6.30248185519288	7.06745948610131	6.52100907342533	7.35131114852762	7.46715020594795	6.80565679755343
